"",log2FC,lfcSE,Pvalues,FDR
g__Acutalibacter,-0.47009,0.86103,0.5851,0.77786
g__GGB29006,1.5619,2.8855,0.5883,0.77786
g__GGB29001,-0.38048,0.71948,0.59693,0.78247
g__GGB28949,0.38448,0.73982,0.60328,0.78247
g__Emergencia,0.29745,0.57336,0.60391,0.78247
g__Roseburia,-0.9286,1.795,0.60494,0.78247
g__GGB28772,1.1329,2.2509,0.61473,0.78734
g__GGB28632,-1.45,2.8855,0.61532,0.78734
g__GGB27876,-0.30158,0.63504,0.63485,0.80672
g__GGB28387,0.95343,2.0219,0.63724,0.80672
g__GGB28959,-1.0493,2.3244,0.65169,0.82011
g__GGB3171,-1.2887,2.8854,0.65513,0.82011
g__GGB30297,-0.70638,1.6169,0.66221,0.82011
g__GGB27914,0.24086,0.56138,0.66788,0.82011
g__GGB28990,1.2304,2.8854,0.66979,0.82011
g__Anaerotruncus,-1.2246,2.8861,0.67134,0.82011
g__GGB28861,0.29131,0.69152,0.67357,0.82011
g__GGB30448,-0.30353,0.72481,0.67539,0.82011
g__GGB28934,-0.47663,1.1565,0.68025,0.82183
g__GGB42586,-0.50124,1.2398,0.68599,0.82191
g__GGB28437,1.1617,2.8854,0.68723,0.82191
g__GGB42344,-0.58101,1.668,0.72759,0.86583
g__Parasutterella,0.21453,0.65817,0.74447,0.87677
g__GGB28924,-0.19687,0.6119,0.74765,0.87677
g__GGB28394,0.48296,1.5022,0.74783,0.87677
g__GGB28818,0.22454,0.73311,0.75939,0.88595
g__GGB29002,0.15349,0.55065,0.78044,0.90608
g__GGB28929,0.7562,2.8854,0.79326,0.91648
g__GGB31312,0.2988,1.1817,0.80038,0.92024
g__GGB28419,-0.4801,2.134,0.822,0.93657
g__GGB30445,-0.58138,2.5908,0.82245,0.93657
g__GGB28798,0.31212,1.4318,0.82743,0.93776
g__GGB28402,-0.59546,2.8854,0.8365,0.94049
g__GGB30048,0.14846,0.74023,0.84104,0.94049
g__GGB29009,-0.12755,0.63865,0.8417,0.94049
g__Streptococcus,-0.19587,1.0528,0.8524,0.94391
g__GGB28621,0.088363,0.47929,0.85373,0.94391
g__GGB30444,0.42461,2.3507,0.85666,0.94391
g__GGB27782,-0.092165,0.59625,0.87716,0.9561
g__GGB28769,0.10081,0.66681,0.87983,0.9561
g__GGB30296,-0.23359,1.5565,0.8807,0.9561
g__GGB28416,0.27769,1.8998,0.88379,0.9561
g__GGB42619,-0.35418,2.7597,0.89788,0.96695
g__GGB27861,-0.076175,0.62528,0.90304,0.96812
g__GGB30311,0.21604,1.8877,0.90888,0.97002
g__GGB28991,0.31094,2.8854,0.91418,0.97132
g__GGB28399,-0.18404,2.0731,0.92926,0.97708
g__GGB29549,-0.24493,2.8854,0.93235,0.97708
g__GGB28802,-0.11705,1.4063,0.93367,0.97708
g__GGB30300,-0.2316,2.8855,0.93603,0.97708
g__GGB31822,0.18505,2.6263,0.94383,0.98092
g__Paramuribaculum,-0.039957,0.67809,0.95301,0.98416
g__GGB27872,0.040376,0.71891,0.95521,0.98416
g__Adlercreutzia,-0.020022,0.46394,0.96558,0.98621
g__GGB27893,-0.022774,0.57286,0.96829,0.98621
g__GGB30475,0.029561,0.77655,0.96963,0.98621
g__GGB24149,-0.014172,0.71518,0.98419,0.99238
g__GGB28916,0.045456,2.8854,0.98743,0.99238
g__GGB28779,-0.011445,0.8129,0.98877,0.99238
g__GGB27885,-0.0069842,0.73146,0.99238,0.99238
g__Eubacterium,,,,
g__GGB25041,,,,
g__GGB28431,,,,
g__GGB28781,,,,
g__GGB28897,,,,
g__GGB29468,,,,
