#NAME	2WT-2m_S1	3WT-2m_S1	5WT-2m_S2	8WT-2m_S3	9WT-2m_S4	10WT-2m_S5	2AD-2m_S6	4AD-2m_S2	5AD-2m_S7	8AD-2m_S8	9AD-2m_S9	10AD-2m_S10	2WT-6m_S11	3WT-6m_S1	5WT-6m_S12	8WT-6m_S2	9WT-6m_S3	10WT-6m_S4	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10	2WT-12m_S1	5WT-12m_S2	6WT-12m_S4	8WT-12m_S3	9WT-12m_S5	10WT-12m_S6	2AD-12m_S7	5AD-12m_S8	6AD-12m_S9	8AD-12m_S10	9AD-12m_S11	10AD-12m_S12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30459;s__GGB30459_SGB43525	0	39940	0	19114	29716	0	18192	1274	86862	41668	322974	10904	97516	64264	49206	10618	78432	48126	24662	2772	56142	47252	32054	157458	55982	127086	686672	23648	360450	49810	67284	0	60680	429680	16688	9490
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30457;s__GGB30457_SGB43523	5246	96578	460280	94930	54100	54336	90928	26422	12526	42938	249942	41760	244144	62742	71184	56036	72866	28014	42774	29788	24586	13062	13940	79328	59840	16806	105942	35790	74046	9560	76490	11688	30478	46702	106540	8090
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30457;s__GGB30457_SGB43521	25516	41746	30590	28936	216014	56272	30586	4442	2258	9704	15552	7786	43492	9258	23970	36768	7474	69034	6650	250	2196	9368	886	0	11444	8236	17244	3494	22502	1910	1218	0	2260	2660	7522	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30454;s__GGB30454_SGB43516	76948	122986	482812	167072	138928	65464	32966	38650	1936	10920	31112	24598	116728	41880	128868	90210	55544	35434	7394	7094	1920	9142	17890	40892	34738	5712	47296	216836	309146	14760	45626	0	8256	19262	54628	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30454;s__GGB30454_SGB43514	8310	160812	103384	47520	31246	210264	555324	192004	145456	538932	1500596	413942	584414	243868	147556	86016	281788	96310	532484	134860	82974	234000	112086	113758	168666	115746	316724	55196	722198	100550	281454	0	225922	256888	234162	12202
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30451;s__GGB30451_SGB43508	15224	153264	40042	274374	179178	45284	73674	14966	3274	80682	117972	85116	213868	69594	154718	33876	52286	14792	70280	17816	48084	10470	7156	38520	11480	22874	35946	15432	54188	4342	106766	0	83702	62542	63612	2540
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30449;s__GGB30449_SGB43506	3080	32350	0	20846	10846	19360	10128	0	0	0	0	10606	58398	7492	5538	26830	20756	11078	4602	0	0	2798	4276	0	13946	40	9752	1606	16690	8502	10460	0	9160	0	10214	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30448;s__GGB30448_SGB43504	4600	59002	328892	29640	65160	15504	14026	3698	5066	16870	51570	64120	87866	77120	137996	60212	122690	28682	10490	19718	33582	26584	24770	7594	26528	15202	93866	31114	110222	12644	24810	830	41132	79964	85734	9070
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30448;s__GGB30448_SGB43503	1528	20744	4316	253212	0	0	3972	32680	20428	43900	97102	15236	49576	42614	8752	298	43050	0	16570	0	5694	444	217570	6766	0	176	25180	1780	2548	12918	49216	0	22724	2864	115220	19974
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__GGB30448;s__GGB30448_SGB43502	3140	0	0	552	12582	14160	6982	92	354	3340	41774	2794	33558	5796	34160	42974	6898	2226	30522	3172	1254	4948	19160	3360	7836	6484	68960	3344	10588	3758	10940	2876	10380	7016	29544	0
